Faculty Name,University,Conference,Category,Score,Matched
Yipeng Qin,Cardiff University,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Peter Wonka,KAUST,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
Naveed Akhtar,University of Melbourne,CVPR,Computer Vision & Image Processing,0.25,Yes
Ajmal Mian,University of Western Australia,CVPR,Computer Vision & Image Processing,0.25,Yes
Angel X. Chang,Simon Fraser University,CVPR,Computer Vision & Image Processing,0.0059171597633136,Yes
Qi-Xing Huang,University of Texas at Austin,CVPR,Computer Vision & Image Processing,0.0059171597633136,Yes
Fisher Yu 0001,ETH Zurich,CVPR,Computer Vision & Image Processing,0.0059171597633136,Yes
Michael I. Jordan,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.0625,Yes
Tommi S. Jaakkola,Massachusetts Institute of Technology,CVPR,Computer Vision & Image Processing,0.0625,Yes
Christopher K. I. Williams,University of Edinburgh,CVPR,Computer Vision & Image Processing,0.25,Yes
Evan Shelhamer,University of British Columbia,CVPR,Computer Vision & Image Processing,0.1111111111111111,Yes
